fila;codigo_a;item_b;codigo_a_repetido;codigo_a_repeticiones;observacion
6;5105;Salarios;NO;1;
8;51055101;Dotacion y Suministro;NO;1;
10;51056301;Capacitacion;NO;1;
11;51058401;Gastos Medicos;NO;1;
12;53954002;Incapacidades;NO;1;
14;51101001;Revisoria Fiscal;NO;1;
16;51102001;Asesoria Juridica;NO;1;
17;51103001;Asesoria Financiera;NO;1;
18;51103508;Asesoría Técnica;NO;1;
23;51201001 - 51355001;Construcciones y Edificaciones;NO;1;
24;51201501 - 73201501;Maquinaria y Equipo;NO;1;
25;51202001;Equipo de Oficina;NO;1;
34;51351001 - 51351004;Temporales;NO;1;
36;51351502;Laboratorio;NO;1;
37;51351503;Fumigacion;NO;1;
38;51352501;Acueducto y Alcantarillado;NO;1;
39;51353001;Energía Electrica;NO;1;
40;51353501;Telefono;NO;1;
41;51353502;Internet;NO;1;
42;51354001;Correo, Portes, telegramas;NO;1;
43;51355001;Transporte, fletes y acarreos;NO;1;
45;51356501;Servicio Web-Hosting-Nube- Licencias Siesa y planeacion;NO;1;
51;514095;Certificados Camara Comercio , proponentes y tradicion, JCC;NO;1;
53;51451001;Construcciones y Edificaciones;NO;1;
54;51451501;Maquinaria y Equipo;SI;2;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1'!$C$128-318000+[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1'!$C$129
56;51451001 - 51451501;Planta Plan Basico de Saneamiento;NO;1;
57;51452501;Equipo de Computacion y Comunic;NO;1;
58;51451501;Plan SST;SI;2;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1'!$C$125
63;51550501;Alojamiento y Manutencion;NO;1;
64;51551501;Pasajes Aereos;NO;1;
67;51951001;Libros, suscripciones, period;NO;1;
69;51952501;Elementos de Aseo y Cafeteria;NO;1;
70;51953001;Papeleria;NO;1;
71;51953002;Fotocopias;NO;1;
72;51953501;Combustible y Lubricantes;NO;1;
73;51954001 - '71100501;Envases y Empaques;NO;1;
74;51954501;Taxis y Buses;NO;1;
75;51956001;Casino y Restaurante (Refrigerios);NO;1;
76;51956501;Parqueaderos;NO;1;
77;51956601;Peajes;NO;1;
78;51959501;Otros;NO;1;
79;51959502;Compra Equipos de Oficina;NO;1;
80;51959503;Compra Suministros;NO;1;
81;51959510;Herramientas y articulos ferreteria;NO;1;
82;51959512;Reuniones Fiestas y Detalles;NO;1;
83;51959514;Equipos de Bodega;NO;1;
84;51959515;Compra Equipos de computo y comunicación;NO;1;
85;51959504;Cuota de Apoyo y Sostenimiento (SENA);NO;1;
87;51959518;Compra Mercado IVH;NO;1;
88;51959517;Convenios medicos - EMI;NO;1;
94;51956002;Donaciones;NO;1;
95;53954001;Ajuste al peso;NO;1;
99;530505;Gastos Bancarios;NO;1;
100;530515;Comisiones;NO;1;
101;53052001;Intereses Corrientes Obligaciones;NO;1;
102;53052002;Intereses Moratorios;NO;1;
104;53052004;Intereses corrientes Leasing;NO;1;
105;53059502;Seguro Credito Leasing;NO;1;
106;51159502;Gravámen a Movimientos Financieros;NO;1;
107;530595;Otros;NO;1;
