fila,codigo_a,item_b,codigo_a_norm,item_b_norm,clave_match,tipo_fila,tipo_ENE,tipo_FEB,formula_ENE,formula_FEB,codigo_a_repetido,codigo_a_repeticiones
2,,CORPORACIÓN HACIA UN VALLE SOLIDARIO,,CORPORACION HACIA UN VALLE SOLIDARIO,2||CORPORACION HACIA UN VALLE SOLIDARIO,detalle_sin_codigo_o_titulo,value,blank,,,,
5,,GASTOS DE PERSONAL,,GASTOS DE PERSONAL,5||GASTOS DE PERSONAL,subtotal_o_total,formula,formula,=SUM(C6:C12),=SUM(D6:D12),,
6,5105,Salarios,5105,SALARIOS,6|5105|SALARIOS,detalle_con_codigo,formula,formula,='[1]Hoja 1'!$I$9-921014+'[2]Hoja 1'!$I$9+'[3]Hoja 1'!$D$8,='[4]Hoja 1'!$L$8-6457629+'[5]Hoja 1'!$I$9+'[6]Hoja 1'!$D$8+'[7]Hoja 1'!$D$10+'[8]Hoja 1'!$I$9,NO,1
7,,Personal Decreto 1860/21,,PERSONAL DECRETO 1860/21,7||PERSONAL DECRETO 1860/21,detalle_sin_codigo_o_titulo,formula,formula,='[1]Hoja 1'!$I$12,='[4]Hoja 1'!$L$10,,
8,51055101,Dotacion y Suministro,51055101,DOTACION Y SUMINISTRO,8|51055101|DOTACION Y SUMINISTRO,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$54-225638,='[10]Hoja 1'!$C$54-59862,NO,1
9,,Bonificaciones,,BONIFICACIONES,9||BONIFICACIONES,detalle_sin_codigo_o_titulo,blank,blank,,,,
10,51056301,Capacitacion,51056301,CAPACITACION,10|51056301|CAPACITACION,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$56,='[10]Hoja 1'!$C$56,NO,1
11,51058401,Gastos Medicos,51058401,GASTOS MEDICOS,11|51058401|GASTOS MEDICOS,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$70,='[10]Hoja 1'!$C$70,NO,1
12,53954002,Incapacidades,53954002,INCAPACIDADES,12|53954002|INCAPACIDADES,detalle_con_codigo,blank,formula,,='[11]Hoja 1'!$C$27,NO,1
13,,HONORARIOS,,HONORARIOS,13||HONORARIOS,subtotal_o_total,formula,formula,=SUM(C14:C18),=SUM(D14:D18),,
14,51101001,Revisoria Fiscal,51101001,REVISORIA FISCAL,14|51101001|REVISORIA FISCAL,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$73,='[10]Hoja 1'!$C$73,NO,1
15,,Avaluos,,AVALUOS,15||AVALUOS,detalle_sin_codigo_o_titulo,blank,blank,,,,
