fila;codigo_a;item_b;referencias_ENE;referencias_FEB
6;5105;Salarios;[5105_CHVS_ENE_2026.xls]Hoja 1!$I$9 | [5105_UT ALIM YUMBO 2025_2026.xls]Hoja 1!$I$9 | [5105_BUGA 2025_2026.xls]Hoja 1!$D$8;[5105_CHVS_FEB_2026.xls]Hoja 1!$L$8 | [5105_UTALIM YUMBO_FEB_2026.xls]Hoja 1!$I$9 | [5105_UT ALIM BUGA 2026_2026.xls]Hoja 1!$D$8 | [5105_UT ALIM BUGA 2025_2026.xls]Hoja 1!$D$10 | [5105_CONS ALIM CALI 2026_2026.xls]Hoja 1!$I$9
8;51055101;Dotacion y Suministro;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$54;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$54
10;51056301;Capacitacion;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$56;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$56
11;51058401;Gastos Medicos;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$70;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$70
12;53954002;Incapacidades;;[ESTADO DE RESULTADOS_UTALIM YUMBO 2025_FEB_2026.xls]Hoja 1!$C$27
14;51101001;Revisoria Fiscal;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$73;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$73
16;51102001;Asesoria Juridica;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$75 | [51355001_CHVS_ENE_2026.xls]Hoja 1!$G$13;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$75 | [51355001_CHVS_FEB_2026.xls]Hoja 1!$G$14
17;51103001;Asesoria Financiera;;
18;51103508;Asesoría Técnica;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$77;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$76
23;51201001 - 51355001;Construcciones y Edificaciones;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$85 | [51355001_CHVS_ENE_2026.xls]Hoja 1!$G$15 | [51355001_CHVS_ENE_2026.xls]Hoja 1!$G$17;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$84 | [51355001_CHVS_FEB_2026.xls]Hoja 1!$G$16 | [51355001_CHVS_FEB_2026.xls]Hoja 1!$G$18
24;51201501 - 73201501;Maquinaria y Equipo;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$87; 
25;51202001;Equipo de Oficina;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$89;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$88
34;51351001 - 51351004;Temporales;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$97;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$99
36;51351502;Laboratorio;;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!C103
37;51351503;Fumigacion;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$99;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!C104
38;51352501;Acueducto y Alcantarillado;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$101;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$106
39;51353001;Energía Electrica;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$103;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$108
40;51353501;Telefono;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!C105;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!C110
41;51353502;Internet;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!C106;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!C111
42;51354001;Correo, Portes, telegramas;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$108;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$113
43;51355001;Transporte, fletes y acarreos;[51355001_CHVS_ENE_2026.xls]Hoja 1!$G$11;[51355001_CHVS_FEB_2026.xls]Hoja 1!$G$11
45;51356501;Servicio Web-Hosting-Nube- Licencias Siesa y planeacion;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$112 | [ESTADO DE RESULTADOS_UT ALIM YUMBO 2026_2026.xls]Hoja 1!$C$70 | [ESTADO DE RESULTADOS_BUGA 2026_2026.xls]Hoja 1!$C$109 | [ESTADO DE RESULTADOS_CONS ALIM CALI 2026_ENE_2026.xls]Hoja 1!$D$133 | [ESTADO DE RESULTADOS_CONS ALIM CALI 2025_ENE_2026.xls]Hoja 1!$C$101;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$117 | [ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$312 | [ESTADO DE RESULTADOS_UTALIM YUMBO_FEB_2026.xls]Hoja 1!$C$92 | [ESTADO DE RESULTADOS_UT ALIM BUGA 2026_2026.xls]Hoja 1!$C$89 | [ESTADO DE RESULTADOS_CONS ALIM CALI 2026_2026.xls]Hoja 1!$C$97
51;514095;Certificados Camara Comercio , proponentes y tradicion, JCC;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$118;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$121
53;51451001;Construcciones y Edificaciones;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$123;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$126
54;51451501;Maquinaria y Equipo;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1'!$C$128-318000+[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1'!$C$129;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$128 | [ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$129
56;51451001 - 51451501;Planta Plan Basico de Saneamiento;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$158;
57;51452501;Equipo de Computacion y Comunic;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$127;
58;51451501;Plan SST;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$125;
63;51550501;Alojamiento y Manutencion;;
64;51551501;Pasajes Aereos;;
67;51951001;Libros, suscripciones, period;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$133;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$135
69;51952501;Elementos de Aseo y Cafeteria;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$135;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$137
70;51953001;Papeleria;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$137 | [ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$402;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$139
71;51953002;Fotocopias;;
72;51953501;Combustible y Lubricantes;;
73;51954001 - '71100501;Envases y Empaques;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$141;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$143
74;51954501;Taxis y Buses;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$143;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$145
75;51956001;Casino y Restaurante (Refrigerios);[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$145;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$147
76;51956501;Parqueaderos;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$148;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$150
77;51956601;Peajes;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$150;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$152
78;51959501;Otros;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$152;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$154
79;51959502;Compra Equipos de Oficina;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$153;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$155
80;51959503;Compra Suministros;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$154;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$156
81;51959510;Herramientas y articulos ferreteria;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$156;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$159
82;51959512;Reuniones Fiestas y Detalles;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$157;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$160
83;51959514;Equipos de Bodega;[ESTADO DE RESULTADOS_CHVS_ENE_2026.xls]Hoja 1!$C$159;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$161
