fila_principal;codigo_a;item_b;referencia_feb;archivo_feb;hoja;celda_feb;fila_celda_feb;columna_celda_feb;valor_celda_feb;codigo_en_misma_fila;codigos_detectados_en_fila;filas_detectadas_codigo_en_hoja;estado
6;5105;Salarios;[5105_CHVS_FEB_2026.xls]Hoja 1!$L$8;5105_CHVS_FEB_2026.xls;Hoja 1;$L$8;8;12;163502037.0;NO;;5105:7 | 5105:25;ok
6;5105;Salarios;[5105_UTALIM YUMBO_FEB_2026.xls]Hoja 1!$I$9;5105_UTALIM YUMBO_FEB_2026.xls;Hoja 1;$I$9;9;9;10667827.0;NO;;5105:08:00;ok
6;5105;Salarios;[5105_UT ALIM BUGA 2026_2026.xls]Hoja 1!$D$8;5105_UT ALIM BUGA 2026_2026.xls;Hoja 1;$D$8;8;4;41746824.0;SI;5105;5105:8 | 5105:17;ok
6;5105;Salarios;[5105_UT ALIM BUGA 2025_2026.xls]Hoja 1!$D$10;5105_UT ALIM BUGA 2025_2026.xls;Hoja 1;$D$10;10;4;321319.0;NO;;5105:7 | 5105:13;ok
6;5105;Salarios;[5105_CONS ALIM CALI 2026_2026.xls]Hoja 1!$I$9;5105_CONS ALIM CALI 2026_2026.xls;Hoja 1;$I$9;9;9;12322884.0;NO;;5105:08:00;ok
8;51055101;Dotacion y Suministro;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$54;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$54;54;3;6758341.0;SI;51055101;51055101:54;ok
10;51056301;Capacitacion;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$56;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$56;56;3;10288035.0;SI;51056301;51056301:56;ok
11;51058401;Gastos Medicos;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$70;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$70;70;3;1826000.0;SI;51058401;51058401:70;ok
12;53954002;Incapacidades;[ESTADO DE RESULTADOS_UTALIM YUMBO 2025_FEB_2026.xls]Hoja 1!$C$27;ESTADO DE RESULTADOS_UTALIM YUMBO 2025_FEB_2026.xls;Hoja 1;$C$27;27;3;1634178.0;SI;53954002;53954002:27 | 53954002:70;ok
14;51101001;Revisoria Fiscal;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$73;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$73;73;3;2896000.0;SI;51101001;51101001:73;ok
16;51102001;Asesoria Juridica;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$75;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$75;75;3;2912968.0;NO;;;ok
16;51102001;Asesoria Juridica;[51355001_CHVS_FEB_2026.xls]Hoja 1!$G$14;51355001_CHVS_FEB_2026.xls;Hoja 1;$G$14;14;7;3572800.0;NO;;;ok
18;51103508;Asesoría Técnica;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$76;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$76;76;3;10377680.0;NO;;51103508:78;ok
23;51201001 - 51355001;Construcciones y Edificaciones;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$84;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$84;84;3;37439181.0;SI;51201001;51201001:84 | 51355001:115;ok
23;51201001 - 51355001;Construcciones y Edificaciones;[51355001_CHVS_FEB_2026.xls]Hoja 1!$G$16;51355001_CHVS_FEB_2026.xls;Hoja 1;$G$16;16;7;850000.0;NO;;51355001:9;ok
23;51201001 - 51355001;Construcciones y Edificaciones;[51355001_CHVS_FEB_2026.xls]Hoja 1!$G$18;51355001_CHVS_FEB_2026.xls;Hoja 1;$G$18;18;7;49300000.0;NO;;51355001:9;ok
24;51201501 - 73201501;Maquinaria y Equipo;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$86;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$86;86;3;10606021.0;SI;51201501;51201501:86;ok
25;51202001;Equipo de Oficina;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$88;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$88;88;3;3236110.0;SI;51202001;51202001:88;ok
34;51351001 - 51351004;Temporales;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$99;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$99;99;3;3807000.0;NO;;51351001:100 | 51351004:101;ok
